,,,,,,,,
,,,,,,,,
,,,,,,,,
,,Source,Language,Original Tasks,Tasks after filtering,Tasks after frequency filtering,,
,,,,,,,,
,,PARI,Tamil,21467,9486,9486,,
,,PARI,Malayalam,1302,590,590,,NOTE : Frequency filtering done only for OSCAR and wikipedia sources
,,PARI,Hindi,14123,1700,1700,,
,,PARI,Bengali,12502,2890,2890,,
,,PARI,Marathi,37980,10795,10795,,
,,PARI,Odia,29108,10284,10284,,
,,,,,,,,
,,Corpus_OSCAR,Malayalam,10187349,4430410,2262207,,
,,Corpus_OSCAR,Tamil,18972253,6670902,4427854,,
,,Corpus_OSCAR,Punjabi,789471,122804,43379,,
,,Corpus_OSCAR,Hindi,13281454,1913616,1440976,,
,,Corpus_OSCAR,Bengali,12222360,3751859,3008701,,
,,Corpus_OSCAR,Marathi,4516387,1337511,824710,,
,,Corpus_OSCAR,Telugu,6552093,2505202,1509641,,
,,,,,,,,
,,Wikipedia,Gujrati,452602,90440,35875,,
,,Wikipedia,Malayalam,339189,171524,85163,,
,,Wikipedia,Tamil,1336017,396524,206512,,
,,Wikipedia,Hindi,4204254,663550,211840,,
,,Wikipedia,Marathi,1115858,397032,286082,,
,,Wikipedia,Kannada,1352205,554304,246125,,
,,Wikipedia,Telugu,2930424,418886,221200,,
,,,,,,,,
,,CFILT-IITB,Hindi,31242020,4806748,4806748,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,TOTAL TASKS,,,,,
,,,,,,,,
,,,Malayalam,2347960,,,,
,,,Tamil,4643852,,,,
,,,Punjabi,43379,,,,
,,,Hindi,6249424,,,,
,,,Bengali,3011591,,,,
,,,Marathi,1121587,,,,
,,,Telugu,1730841,,,,
,,,Odia,10284,,,,
,,,Kannada,246125,,,,
